Event Index,UTC Timestamp,UTC Date,Local Timestamp,Local Timezone,Local Date,Experiment ID,Experiment Version,Tree Node Key,Repeat Key,Schedule ID,Participant Public ID,Participant Private ID,Participant Starting Group,Participant Status,Participant Completion Code,Participant External Session ID,Participant Device Type,Participant Device,Participant OS,Participant Browser,Participant Monitor Size,Participant Viewport Size,Checkpoint,Task Name,Task Version,randomiser-pnjf,branch-1wjh,branch-sxfc,Randomise questionnaire elements?,Question Key,Response
3,1602144131699,08/10/2020 08:02:11,1602144131562,1,08/10/2020 09:02:11,20655,18,questionnaire-clby,,7120369,BLIND,2069374,,complete,,5f7ec72cd475b81a98ba52e0,computer,Desktop or Laptop,Linux x86_64,Chrome 86.0.4214.2,1366x768,1366x669,,Background session 1,1,5,attention-pass,attention-pass,No,gender-quantised,1
4,1602144131699,08/10/2020 08:02:11,1602144131563,1,08/10/2020 09:02:11,20655,18,questionnaire-clby,,7120369,BLIND,2069374,,complete,,5f7ec72cd475b81a98ba52e0,computer,Desktop or Laptop,Linux x86_64,Chrome 86.0.4214.2,1366x768,1366x669,,Background session 1,1,5,attention-pass,attention-pass,No,gender-text,
5,1602144131699,08/10/2020 08:02:11,1602144131563,1,08/10/2020 09:02:11,20655,18,questionnaire-clby,,7120369,BLIND,2069374,,complete,,5f7ec72cd475b81a98ba52e0,computer,Desktop or Laptop,Linux x86_64,Chrome 86.0.4214.2,1366x768,1366x669,,Background session 1,1,5,attention-pass,attention-pass,No,response-2-inmonths,408
6,1602144131699,08/10/2020 08:02:11,1602144131563,1,08/10/2020 09:02:11,20655,18,questionnaire-clby,,7120369,BLIND,2069374,,complete,,5f7ec72cd475b81a98ba52e0,computer,Desktop or Laptop,Linux x86_64,Chrome 86.0.4214.2,1366x768,1366x669,,Background session 1,1,5,attention-pass,attention-pass,No,END QUESTIONNAIRE,22737
1,1602144116746,08/10/2020 08:01:56,1602144115395,1,08/10/2020 09:01:55,20655,18,questionnaire-clby,,7120371,BLIND,2069370,,complete,,5f7ec7233d0b2719f74bf622,computer,Desktop or Laptop,Windows 10,Chrome 85.0.4183.102,1366x768,1366x625,,Background session 1,1,14,attention-pass,attention-pass,No,BEGIN QUESTIONNAIRE,
2,1602144131246,08/10/2020 08:02:11,1602144129969,1,08/10/2020 09:02:09,20655,18,questionnaire-clby,,7120371,BLIND,2069370,,complete,,5f7ec7233d0b2719f74bf622,computer,Desktop or Laptop,Windows 10,Chrome 85.0.4183.102,1366x768,1366x625,,Background session 1,1,14,attention-pass,attention-pass,No,gender,Male
3,1602144131324,08/10/2020 08:02:11,1602144129971,1,08/10/2020 09:02:09,20655,18,questionnaire-clby,,7120371,BLIND,2069370,,complete,,5f7ec7233d0b2719f74bf622,computer,Desktop or Laptop,Windows 10,Chrome 85.0.4183.102,1366x768,1366x625,,Background session 1,1,14,attention-pass,attention-pass,No,gender-quantised,1
4,1602144131324,08/10/2020 08:02:11,1602144129972,1,08/10/2020 09:02:09,20655,18,questionnaire-clby,,7120371,BLIND,2069370,,complete,,5f7ec7233d0b2719f74bf622,computer,Desktop or Laptop,Windows 10,Chrome 85.0.4183.102,1366x768,1366x625,,Background session 1,1,14,attention-pass,attention-pass,No,gender-text,
5,1602144131324,08/10/2020 08:02:11,1602144129972,1,08/10/2020 09:02:09,20655,18,questionnaire-clby,,7120371,BLIND,2069370,,complete,,5f7ec7233d0b2719f74bf622,computer,Desktop or Laptop,Windows 10,Chrome 85.0.4183.102,1366x768,1366x625,,Background session 1,1,14,attention-pass,attention-pass,No,response-2-inmonths,425
6,1602144131324,08/10/2020 08:02:11,1602144129972,1,08/10/2020 09:02:09,20655,18,questionnaire-clby,,7120371,BLIND,2069370,,complete,,5f7ec7233d0b2719f74bf622,computer,Desktop or Laptop,Windows 10,Chrome 85.0.4183.102,1366x768,1366x625,,Background session 1,1,14,attention-pass,attention-pass,No,END QUESTIONNAIRE,14577
