Event Index,UTC Timestamp,UTC Date,Local Timestamp,Local Timezone,Local Date,Experiment ID,Experiment Version,Tree Node Key,Repeat Key,Schedule ID,Participant Public ID,Participant Private ID,Participant Starting Group,Participant Status,Participant Completion Code,Participant External Session ID,Participant Device Type,Participant Device,Participant OS,Participant Browser,Participant Monitor Size,Participant Viewport Size,Checkpoint,Task Name,Task Version,randomiser-pnjf,branch-1wjh,branch-sxfc,Randomise questionnaire elements?,Question Key,Response
3,1.60241E+12,11/10/2020 08:39,1.60241E+12,1,11/10/2020 09:39,20655,20,questionnaire-kzn1,,7166662,BLIND,2083610,,complete,,5f82bde0fff6433e83b6a9b2,computer,Desktop or Laptop,Windows 10,Chrome 85.0.4183.121,1920x1080,1920x979,,End Survey - Session 1,6,11,attention-pass,attention-pass,No,strategy-people,
4,1.60241E+12,11/10/2020 08:39,1.60241E+12,1,11/10/2020 09:39,20655,20,questionnaire-kzn1,,7166662,BLIND,2083610,,complete,,5f82bde0fff6433e83b6a9b2,computer,Desktop or Laptop,Windows 10,Chrome 85.0.4183.121,1920x1080,1920x979,,End Survey - Session 1,6,11,attention-pass,attention-pass,No,strategy-aid,
5,1.60241E+12,11/10/2020 08:39,1.60241E+12,1,11/10/2020 09:39,20655,20,questionnaire-kzn1,,7166662,BLIND,2083610,,complete,,5f82bde0fff6433e83b6a9b2,computer,Desktop or Laptop,Windows 10,Chrome 85.0.4183.121,1920x1080,1920x979,,End Survey - Session 1,6,11,attention-pass,attention-pass,No,strategy-misc,
6,1.60241E+12,11/10/2020 08:39,1.60241E+12,1,11/10/2020 09:39,20655,20,questionnaire-kzn1,,7166662,BLIND,2083610,,complete,,5f82bde0fff6433e83b6a9b2,computer,Desktop or Laptop,Windows 10,Chrome 85.0.4183.121,1920x1080,1920x979,,End Survey - Session 1,6,11,attention-pass,attention-pass,No,END QUESTIONNAIRE,59588
1,1.60241E+12,11/10/2020 08:38,1.60241E+12,1,11/10/2020 09:38,20655,20,questionnaire-kzn1,,7166664,BLIND,2083604,,complete,,5f82bdc1ddce1d3eab23b059,computer,Desktop or Laptop,Windows 10,Chrome 85.0.4183.121,1366x768,1366x768,,End Survey - Session 1,6,7,attention-pass,attention-pass,No,BEGIN QUESTIONNAIRE,
2,1.60241E+12,11/10/2020 08:38,1.60241E+12,1,11/10/2020 09:38,20655,20,questionnaire-kzn1,,7166664,BLIND,2083604,,complete,,5f82bdc1ddce1d3eab23b059,computer,Desktop or Laptop,Windows 10,Chrome 85.0.4183.121,1366x768,1366x768,,End Survey - Session 1,6,7,attention-pass,attention-pass,No,strategy-describe,
3,1.60241E+12,11/10/2020 08:38,1.60241E+12,1,11/10/2020 09:38,20655,20,questionnaire-kzn1,,7166664,BLIND,2083604,,complete,,5f82bdc1ddce1d3eab23b059,computer,Desktop or Laptop,Windows 10,Chrome 85.0.4183.121,1366x768,1366x768,,End Survey - Session 1,6,7,attention-pass,attention-pass,No,strategy-people,
4,1.60241E+12,11/10/2020 08:38,1.60241E+12,1,11/10/2020 09:38,20655,20,questionnaire-kzn1,,7166664,BLIND,2083604,,complete,,5f82bdc1ddce1d3eab23b059,computer,Desktop or Laptop,Windows 10,Chrome 85.0.4183.121,1366x768,1366x768,,End Survey - Session 1,6,7,attention-pass,attention-pass,No,strategy-aid,
5,1.60241E+12,11/10/2020 08:38,1.60241E+12,1,11/10/2020 09:38,20655,20,questionnaire-kzn1,,7166664,BLIND,2083604,,complete,,5f82bdc1ddce1d3eab23b059,computer,Desktop or Laptop,Windows 10,Chrome 85.0.4183.121,1366x768,1366x768,,End Survey - Session 1,6,7,attention-pass,attention-pass,No,strategy-misc,
6,1.60241E+12,11/10/2020 08:38,1.60241E+12,1,11/10/2020 09:38,20655,20,questionnaire-kzn1,,7166664,BLIND,2083604,,complete,,5f82bdc1ddce1d3eab23b059,computer,Desktop or Laptop,Windows 10,Chrome 85.0.4183.121,1366x768,1366x768,,End Survey - Session 1,6,7,attention-pass,attention-pass,No,END QUESTIONNAIRE,35535
